student_id,department,cgpa,project_score,dsa_score,hackathon_wins,aptitude_score,hr_score,resume_ats_score,cs_fundamentals_score,placement_status,company_name,company_type,job_role,salary_lpa
12500001,CSE/IT,9.35,77.57,83.22,0,62.06,49.02,66.31,63.64,Placed,Zoho,Product,Core Engineer,50.76
12502406,CSE/IT,9.09,72.08,91.0,1,56.31,48.88,47.66,77.01,Placed,Walmart Global Tech,Product,SDE,49.29
12500806,CSE/IT,9.17,68.92,91.0,1,39.48,30.77,49.2,91.0,Placed,Swiggy,Product,Core Engineer,51.58
12502195,CSE/IT,8.88,88.19,75.03,1,63.9,52.62,54.38,74.85,Placed,Swiggy,Product,Core Engineer,47.68
12500545,CSE/IT,9.75,56.53,82.6,0,72.43,58.04,35.15,91.0,Placed,Oracle,Product,Core Engineer,49.01
12503694,CSE/IT,9.78,65.0,78.13,0,74.04,76.75,51.79,66.83,Placed,Tata Elxsi,Mid,Analyst,29.8
12502251,CSE/IT,9.9,64.47,91.0,0,44.34,62.64,55.13,56.13,Placed,Nagarro,Mid,Analyst,36.99
12503702,CSE/IT,8.65,76.82,91.0,0,45.58,53.09,61.95,65.42,Placed,Cognizant,Mid,SDE,30.16
12501163,CSE/IT,9.29,68.84,82.96,4,42.59,36.43,60.2,88.95,Placed,IBM,Mid,Analyst,41.94
12502935,CSE/IT,9.9,78.51,64.61,4,78.01,45.62,58.26,73.47,Placed,Walmart Global Tech,Product,SDE,29.98
12503036,CSE/IT,9.18,72.4,83.55,0,60.35,45.97,54.63,70.64,Placed,L&T Infotech,Mid,Analyst,28.34
12500202,CSE/IT,9.19,66.25,91.0,0,58.17,46.41,64.34,57.12,Placed,Freshworks,Product,Core Engineer,35.42
12500215,CSE/IT,9.37,88.62,68.08,2,61.27,47.42,50.16,74.32,Placed,Microsoft,Product,Core Engineer,35.21
12502301,CSE/IT,9.41,80.33,74.56,1,48.59,68.41,41.62,78.55,Placed,Swiggy,Product,Core Engineer,25.98
12502433,CSE/IT,9.52,68.86,68.62,3,66.54,23.58,71.29,91.0,Placed,Razorpay,Product,SDE,35.03
12501915,CSE/IT,9.72,61.9,83.38,0,77.06,42.97,43.29,65.69,Placed,Mphasis,Mid,SDE,27.75
12500729,CSE/IT,9.9,62.28,72.29,1,83.7,37.71,49.23,79.25,Placed,Tata Elxsi,Mid,Analyst,42.64
12500510,CSE/IT,9.62,69.9,73.28,0,71.86,79.7,67.81,53.0,Placed,Microsoft,Product,SDE,44.17
12500224,CSE/IT,9.01,65.34,88.41,0,60.21,63.56,58.85,60.34,Placed,Paytm,Product,Core Engineer,33.7
12502746,CSE/IT,8.02,82.89,87.15,0,78.74,62.38,53.67,51.33,Placed,Swiggy,Product,Core Engineer,35.93
12503828,CSE/IT,9.27,80.36,73.67,0,77.84,46.7,55.49,57.82,Placed,Oracle,Product,SDE,44.3
12503684,CSE/IT,8.55,68.61,88.3,0,55.99,53.02,55.79,74.02,Placed,Tata Elxsi,Mid,Analyst,32.5
12502880,CSE/IT,8.76,66.97,76.26,0,78.55,80.62,43.72,82.69,Placed,KPMG,Mid,SDE,25.18
12501101,CSE/IT,8.91,62.25,89.55,0,63.84,43.53,51.77,72.07,Placed,Google,Product,Core Engineer,30.58
12501614,CSE/IT,9.52,67.51,76.22,0,70.21,54.69,60.48,62.89,Placed,KPMG,Mid,SDE,42.12
12503078,CSE/IT,9.1,68.05,83.54,0,59.15,67.43,50.61,65.77,Placed,IBM,Mid,SDE,37.65
12502133,CSE/IT,8.63,68.7,79.05,4,55.08,73.28,74.49,72.09,Placed,Intel,Mid,Analyst,43.39
12501761,CSE/IT,9.35,71.99,74.47,1,72.91,44.66,49.41,69.73,Placed,Hexaware,Mid,SDE,28.31
12502689,CSE/IT,8.9,68.09,82.75,0,61.49,40.84,47.32,78.57,Placed,Dell,Mid,Analyst,39.36
12503620,CSE/IT,7.88,81.05,82.09,0,47.96,60.12,64.5,76.75,Placed,Walmart Global Tech,Product,SDE,36.44
12501396,CSE/IT,8.99,59.94,91.0,0,46.06,55.77,66.41,62.15,Placed,Oracle,Product,Core Engineer,32.78
12500800,CSE/IT,9.72,61.24,72.13,1,63.21,35.54,70.15,76.32,Placed,EPAM Systems,Mid,Analyst,44.59
12503704,CSE/IT,9.9,47.68,75.33,0,74.9,59.1,53.88,81.32,Placed,IBM,Mid,Analyst,26.24
12500592,CSE/IT,9.16,60.31,81.05,0,67.52,56.42,66.67,63.57,Placed,L&T Infotech,Mid,SDE,33.66
12503633,CSE/IT,9.27,67.59,74.58,0,49.88,54.4,56.03,81.77,Placed,Cognizant,Mid,Analyst,33.38
12501392,CSE/IT,8.46,72.9,84.67,0,67.99,55.97,63.97,52.05,Placed,Accenture,Mid,SDE,42.11
12502697,CSE/IT,9.0,50.47,87.73,0,57.25,72.03,39.61,85.13,Placed,Nagarro,Mid,Analyst,27.63
12501631,CSE/IT,8.61,77.76,83.46,1,62.01,39.32,49.4,59.73,Placed,Zomato,Product,Core Engineer,33.37
12501281,CSE/IT,9.5,44.52,86.1,2,84.16,68.83,31.23,72.32,Placed,Swiggy,Product,Core Engineer,30.17
12503556,CSE/IT,7.65,87.98,72.66,0,54.31,64.95,84.71,65.97,Placed,EPAM Systems,Mid,Analyst,28.32
12502056,CSE/IT,8.53,56.07,91.0,0,64.29,72.08,57.3,61.42,Placed,SAP Labs,Product,Core Engineer,35.72
12503823,CSE/IT,8.87,76.53,76.48,2,64.16,52.45,57.17,58.39,Placed,Zoho,Product,SDE,37.97
12503033,CSE/IT,9.16,66.32,72.68,1,66.67,39.68,38.9,91.0,Placed,Uber,Product,SDE,43.0
12503223,CSE/IT,8.58,60.81,91.0,0,66.7,51.33,33.87,71.76,Placed,SAP Labs,Product,SDE,44.12
12502973,CSE/IT,8.09,81.94,87.12,0,62.73,41.65,40.01,60.45,Placed,Mindtree,Mid,SDE,25.52
12501125,CSE/IT,8.96,76.45,78.35,1,56.99,56.86,53.51,56.03,Placed,Adobe,Product,Core Engineer,39.34
12500618,CSE/IT,9.07,64.66,84.33,4,51.51,35.25,54.38,68.2,Placed,HP,Mid,SDE,39.93
12502481,CSE/IT,8.61,66.07,91.0,1,45.76,51.9,51.65,62.19,Placed,Ola,Product,SDE,28.67
12500169,ECE,9.64,60.49,91.0,0,73.99,46.99,53.06,58.84,Placed,Dell,Mid,SDE,25.94
12503683,CSE/IT,9.13,57.61,84.13,0,59.41,69.51,49.7,64.0,Placed,Swiggy,Product,Core Engineer,29.74
12500869,CSE/IT,9.47,70.16,77.64,0,62.19,55.13,53.11,49.72,Placed,L&T Infotech,Mid,SDE,31.0
12501985,CSE/IT,8.97,75.09,74.76,1,66.99,48.89,39.7,68.93,Placed,Persistent Systems,Mid,SDE,42.88
12501776,CSE/IT,8.28,74.85,77.54,0,64.69,56.8,62.02,65.09,Placed,L&T Infotech,Mid,Analyst,25.12
12502397,CSE/IT,8.8,63.7,71.53,0,79.32,42.2,72.32,71.48,Placed,Atlassian,Product,SDE,34.01
12500909,CSE/IT,9.2,60.12,79.79,0,59.67,81.41,38.53,69.85,Placed,Twitter(X),Product,Core Engineer,26.59
12502211,CSE/IT,8.15,88.41,73.21,0,69.4,54.58,38.07,68.65,Placed,Accenture,Mid,SDE,25.15
12503505,CSE/IT,9.17,91.0,59.01,1,60.25,34.99,56.51,68.16,Placed,Accenture,Mid,Analyst,31.39
12502347,CSE/IT,8.34,51.81,85.85,0,91.0,53.17,70.67,56.87,Placed,Dell,Mid,Analyst,44.47
12501212,CSE/IT,9.24,60.53,74.4,0,73.4,38.57,54.48,72.36,Placed,Uber,Product,Core Engineer,35.69
12503171,CSE/IT,8.71,71.71,72.86,0,58.48,56.15,62.27,69.9,Placed,Zoho,Product,Core Engineer,38.06
12501841,CSE/IT,8.77,59.31,91.0,0,58.51,45.59,54.44,55.22,Placed,Dell,Mid,SDE,34.49
12500004,CSE/IT,8.6,78.72,67.62,0,58.12,36.55,64.08,78.54,Placed,Uber,Product,SDE,31.71
12502259,CSE/IT,7.92,72.26,86.16,1,82.37,63.57,37.82,56.03,Placed,Zoho,Product,SDE,36.37
12501065,CSE/IT,9.13,89.32,68.77,0,76.56,54.67,24.75,51.48,Placed,Oracle,Product,Core Engineer,41.88
12503418,CSE/IT,8.44,70.52,74.92,0,76.38,59.62,28.78,82.09,Placed,Mindtree,Mid,Analyst,25.66
12503797,CSE/IT,9.24,70.9,65.94,0,75.28,36.13,54.88,71.84,Placed,Mphasis,Mid,SDE,33.32
12502043,CSE/IT,8.75,75.98,80.45,0,49.35,32.39,57.27,59.46,Placed,Ola,Product,SDE,25.23
12500281,CSE/IT,9.36,61.5,69.94,0,51.75,39.14,55.54,88.89,Placed,Qualcomm,Mid,Analyst,42.59
12502604,CSE/IT,9.32,61.23,70.29,1,62.84,38.1,60.84,78.97,Placed,Intel,Mid,Analyst,29.83
12503986,CSE/IT,8.29,66.28,84.94,1,69.17,43.53,48.9,65.63,Placed,Hexaware,Mid,SDE,30.68
12503308,CSE/IT,8.28,73.42,72.25,0,63.59,60.13,65.22,70.4,Placed,IBM,Mid,SDE,43.07
12500620,CSE/IT,8.71,62.23,78.78,0,55.3,49.76,59.43,73.91,Placed,L&T Infotech,Mid,Analyst,31.81
12501573,CSE/IT,8.73,68.06,71.54,2,43.49,68.48,76.69,70.58,Placed,Netflix,Product,SDE,33.78
12502602,CSE/IT,9.09,50.64,91.0,5,55.94,58.25,30.17,70.61,Placed,Uber,Product,Core Engineer,42.84
12503452,CSE/IT,9.14,50.22,80.79,3,61.5,52.93,44.18,82.0,Placed,Freshworks,Product,SDE,29.01
12502607,CSE/IT,8.28,55.99,89.64,2,68.91,41.08,49.34,70.07,Placed,Intel,Mid,Analyst,34.36
12503732,CSE/IT,7.89,79.49,77.41,0,54.25,46.44,54.26,74.53,Placed,HP,Mid,Analyst,28.42
12500858,CSE/IT,8.75,72.65,81.05,0,64.9,58.2,33.74,57.14,Placed,Google,Product,SDE,32.45
12501540,CSE/IT,9.05,71.04,69.52,0,57.77,54.54,42.97,78.18,Placed,Razorpay,Product,Core Engineer,43.89
12503432,CSE/IT,8.29,74.3,75.16,2,42.09,40.09,63.8,81.14,Placed,Qualcomm,Mid,SDE,35.31
12503915,CSE/IT,9.16,64.79,71.05,2,55.13,52.51,68.58,66.66,Placed,Uber,Product,SDE,42.18
12500016,CSE/IT,9.15,67.69,78.25,0,64.28,48.02,30.73,65.64,Placed,Google,Product,Core Engineer,26.41
12502375,CSE/IT,8.91,73.52,71.19,0,31.31,60.1,65.68,73.4,Placed,Netflix,Product,Core Engineer,27.38
12501557,CSE/IT,8.99,39.43,81.81,0,84.21,40.68,52.25,83.18,Placed,SAP Labs,Product,Core Engineer,38.97
12502878,CSE/IT,8.84,47.56,85.02,0,54.22,53.57,53.36,80.95,Placed,Oracle,Product,SDE,32.42
12501151,CSE/IT,9.63,64.42,80.49,5,44.13,59.79,57.18,43.31,Placed,Flipkart,Product,Core Engineer,26.72
12502822,CSE/IT,9.2,48.51,79.88,0,73.81,48.55,53.78,68.84,Placed,Persistent Systems,Mid,Analyst,35.97
12500998,CSE/IT,8.97,69.77,73.73,0,53.55,54.71,59.87,60.52,Placed,Amazon,Product,SDE,30.53
12502952,CSE/IT,8.65,47.99,83.76,0,57.76,48.77,55.22,83.82,Placed,Microsoft,Product,Core Engineer,39.31
12502610,ECE,9.18,76.03,80.02,1,53.41,48.23,62.02,63.21,Placed,Freshworks,Product,SDE,32.68
12502109,CSE/IT,8.93,55.16,72.43,0,61.18,61.3,44.13,91.0,Placed,Amazon,Product,Core Engineer,39.83
12500062,CSE/IT,8.39,53.58,91.0,0,53.45,63.76,41.86,70.45,Placed,Twitter(X),Product,Core Engineer,33.86
12501929,CSE/IT,9.59,85.7,60.41,0,57.06,41.19,43.73,59.64,Placed,IBM,Mid,SDE,36.53
12500401,CSE/IT,8.82,69.82,57.67,1,71.35,66.51,70.8,76.65,Placed,SAP Labs,Product,Core Engineer,27.58
12501693,CSE/IT,8.25,46.61,89.81,1,51.66,77.8,43.82,82.22,Placed,Zomato,Product,SDE,40.56
12501399,CSE/IT,8.57,54.57,87.19,0,66.72,40.8,65.43,54.24,Placed,Hexaware,Mid,Analyst,44.53
12502034,CSE/IT,8.3,58.1,76.06,0,82.54,58.54,58.31,68.78,Placed,Dell,Mid,Analyst,43.08
12501603,CSE/IT,8.1,75.34,66.99,0,61.4,65.35,70.22,70.38,Placed,L&T Infotech,Mid,SDE,26.93
12502661,CSE/IT,8.57,51.81,80.57,2,70.27,59.75,34.38,85.02,Placed,Qualcomm,Mid,SDE,36.95
12501406,CSE/IT,8.37,59.28,79.74,0,64.05,65.89,43.1,75.8,Placed,Ola,Product,SDE,39.88
12501902,CSE/IT,7.96,59.98,86.43,1,71.67,36.93,76.74,51.97,Placed,Intel,Mid,Analyst,29.75
12500291,CSE/IT,9.54,56.45,76.73,0,40.4,81.72,50.13,61.82,Placed,Bosch,Mid,Analyst,43.62
12500305,CSE/IT,8.52,65.44,70.49,0,61.1,63.51,49.17,81.29,Placed,Amazon,Product,Core Engineer,43.58
12502906,ECE,7.96,84.06,79.44,0,71.29,71.38,42.77,72.23,Placed,Netflix,Product,SDE,30.57
12502093,CSE/IT,8.6,47.6,91.0,0,72.26,31.11,56.34,59.07,Placed,IBM,Mid,Analyst,27.53
12501636,CSE/IT,9.08,91.0,43.82,0,76.32,42.91,73.85,65.23,Placed,EPAM Systems,Mid,Analyst,37.53
12503307,CSE/IT,9.05,73.84,65.67,0,71.59,35.56,47.07,67.0,Placed,Razorpay,Product,SDE,39.4
12501010,CSE/IT,8.59,75.84,60.35,0,75.59,66.14,75.37,56.61,Placed,KPMG,Mid,Analyst,28.5
12502565,CSE/IT,8.57,58.87,86.12,1,57.39,61.63,47.52,57.48,Placed,Oracle,Product,Core Engineer,43.48
12503922,CSE/IT,8.65,76.81,75.16,3,55.0,45.95,38.62,63.65,Placed,Zomato,Product,SDE,37.14
12503729,CSE/IT,8.27,66.9,78.5,0,66.41,52.32,63.71,55.96,Placed,Capgemini,Mid,SDE,31.64
12502801,CSE/IT,8.03,69.36,84.68,0,54.69,54.14,52.87,57.28,Placed,EPAM Systems,Mid,SDE,25.01
12503269,CSE/IT,8.13,54.32,81.17,0,55.94,62.93,65.07,75.71,Placed,Amazon,Product,SDE,40.16
12501744,CSE/IT,8.41,48.93,88.23,2,78.23,31.6,46.33,68.79,Placed,Nagarro,Mid,SDE,35.97
12500619,CSE/IT,7.85,55.52,91.0,0,42.26,65.39,58.73,69.95,Placed,Microsoft,Product,SDE,39.71
12503242,CSE/IT,8.05,69.79,84.47,0,51.09,44.52,61.7,55.05,Placed,Amazon,Product,Core Engineer,38.15
12500386,CSE/IT,8.6,55.8,90.61,1,69.66,41.85,39.28,51.73,Placed,HP,Mid,Analyst,26.99
12500784,CSE/IT,8.53,67.69,84.45,0,51.75,34.22,43.28,59.59,Placed,Capgemini,Mid,Analyst,25.1
12500813,CSE/IT,8.47,55.86,83.93,0,61.88,65.41,48.15,61.7,Placed,Atlassian,Product,Core Engineer,26.47
12503598,CSE/IT,8.07,62.45,84.06,0,52.57,46.74,46.61,73.58,Placed,Flipkart,Product,Core Engineer,32.1
12501000,CSE/IT,8.21,64.66,73.41,0,68.33,28.14,64.43,74.49,Placed,Freshworks,Product,SDE,26.44
12501999,CSE/IT,7.82,53.35,91.0,0,44.31,57.75,64.82,68.07,Placed,Capgemini,Mid,SDE,30.47
12500731,CSE/IT,8.67,57.81,80.82,0,75.14,35.81,46.56,60.19,Placed,Google,Product,SDE,26.49
12501144,CSE/IT,8.42,55.89,74.06,0,74.44,35.71,59.19,77.72,Placed,Intel,Mid,SDE,43.51
12500488,CSE/IT,8.82,65.9,70.49,3,73.04,42.58,52.42,61.48,Placed,Accenture,Mid,Analyst,40.5
12500330,CSE/IT,9.33,65.14,72.0,0,50.89,75.17,53.71,48.05,Placed,Nagarro,Mid,SDE,26.41
12503515,CSE/IT,7.79,68.5,87.14,0,62.55,48.67,48.48,52.71,Placed,Microsoft,Product,SDE,25.76
12503173,CSE/IT,8.98,57.38,67.35,1,56.03,73.41,49.36,80.73,Placed,Oracle,Product,Core Engineer,28.6
12501918,CSE/IT,7.95,52.75,91.0,0,51.22,53.73,46.32,72.52,Placed,Dell,Mid,SDE,33.03
12502892,CSE/IT,8.42,70.97,70.95,4,63.05,47.27,48.27,69.36,Placed,Swiggy,Product,Core Engineer,36.01
12503305,CSE/IT,8.1,67.44,76.26,2,62.4,46.37,43.71,74.9,Placed,Swiggy,Product,Core Engineer,30.26
12503884,CSE/IT,8.38,45.67,89.32,0,48.46,36.26,71.77,66.8,Placed,Tata Elxsi,Mid,SDE,30.83
12501580,CSE/IT,9.01,58.19,87.92,0,37.46,49.69,24.09,66.98,Placed,Bosch,Mid,Analyst,25.18
12501308,CSE/IT,8.0,75.4,80.24,0,50.56,25.93,60.11,58.19,Placed,Nagarro,Mid,Analyst,30.57
12503310,CSE/IT,8.49,51.04,87.61,2,40.58,76.07,59.06,58.95,Placed,Atlassian,Product,SDE,44.0
12503649,CSE/IT,8.53,84.0,52.05,0,70.14,28.54,62.24,79.78,Placed,Walmart Global Tech,Product,Core Engineer,30.52
12500759,CSE/IT,8.65,60.33,81.12,0,67.3,52.98,40.01,56.73,Placed,Nagarro,Mid,Analyst,31.28
12500511,CSE/IT,8.08,65.14,80.34,2,55.85,63.89,57.58,57.56,Placed,Walmart Global Tech,Product,SDE,35.11
12500175,CSE/IT,9.09,63.56,70.39,0,56.53,46.49,48.21,67.53,Placed,Ola,Product,SDE,26.97
12503092,CSE/IT,8.28,52.31,87.12,0,54.41,55.92,53.22,63.02,Placed,Uber,Product,Core Engineer,31.87
12503227,CSE/IT,8.13,62.93,89.85,1,34.6,48.75,52.01,59.34,Placed,Tata Elxsi,Mid,Analyst,28.38
12500577,CSE/IT,7.81,83.32,74.99,3,43.12,63.52,49.99,59.21,Placed,Walmart Global Tech,Product,SDE,27.69
12500874,CSE/IT,8.7,64.64,72.44,0,71.89,53.39,41.2,62.51,Placed,SAP Labs,Product,SDE,43.94
12502718,CSE/IT,8.74,60.31,77.13,2,55.51,39.48,51.25,66.19,Placed,Zoho,Product,SDE,36.12
12502585,CSE/IT,8.14,48.9,91.0,0,68.75,38.46,52.32,59.61,Placed,Oracle,Product,SDE,27.62
12500209,CSE/IT,7.86,71.01,75.22,0,65.03,56.42,49.75,64.95,Placed,Adobe,Product,SDE,42.85
12501198,CSE/IT,8.71,55.31,85.29,2,49.71,49.49,39.37,63.96,Placed,Capgemini,Mid,Analyst,36.85
12501833,CSE/IT,8.61,50.59,72.62,0,43.89,57.93,78.52,78.67,Placed,Cognizant,Mid,Analyst,31.17
12501974,CSE/IT,7.82,65.85,78.36,1,57.72,68.9,54.35,64.05,Placed,Paytm,Product,SDE,41.47
12503296,CSE/IT,7.62,81.17,70.52,0,83.86,46.35,47.89,56.46,Placed,Dell,Mid,SDE,27.51
12500613,CSE/IT,8.15,68.22,76.17,5,49.51,65.71,38.17,73.28,Placed,Atlassian,Product,Core Engineer,36.04
12503250,CSE/IT,8.05,45.49,88.96,0,57.69,39.92,62.31,70.91,Placed,Uber,Product,SDE,35.65
12503002,CSE/IT,7.88,80.4,73.76,1,43.62,59.44,47.09,65.57,Placed,Zoho,Product,Core Engineer,35.49
12502498,CSE/IT,8.62,74.94,72.41,2,61.24,47.11,30.97,60.85,Placed,Hexaware,Mid,Analyst,32.17
12503586,CSE/IT,8.62,64.59,69.27,0,55.16,39.97,60.2,72.21,Placed,Capgemini,Mid,SDE,33.75
12501084,CSE/IT,9.21,85.01,58.0,0,53.52,56.54,45.37,53.24,Placed,Intel,Mid,SDE,39.81
12500493,CSE/IT,8.78,73.0,75.36,0,37.72,34.1,67.17,47.6,Placed,Dell,Mid,Analyst,43.75
12500797,CSE/IT,7.98,65.58,86.57,0,50.99,46.16,32.44,65.33,Placed,Bosch,Mid,SDE,42.19
12500032,CSE/IT,7.96,70.46,78.73,0,45.23,44.03,39.37,75.33,Placed,Dell,Mid,Analyst,43.22
12500985,CSE/IT,9.74,67.83,58.52,0,52.33,63.33,60.51,53.8,Placed,Razorpay,Product,SDE,40.01
12503185,CSE/IT,8.52,64.89,74.77,0,46.12,66.44,37.82,71.53,Placed,Walmart Global Tech,Product,SDE,40.31
12502108,CSE/IT,8.44,53.39,88.91,0,50.09,57.88,50.49,51.5,Placed,Mindtree,Mid,SDE,43.36
12502751,CSE/IT,7.51,72.37,72.94,2,52.3,64.79,69.43,65.15,Placed,Microsoft,Product,SDE,36.41
12502315,CSE/IT,8.87,86.89,52.34,0,63.34,53.74,51.3,60.61,Placed,Mindtree,Mid,Analyst,25.73
12500690,CSE/IT,8.73,54.71,76.45,0,62.64,87.25,36.04,60.96,Placed,Hexaware,Mid,SDE,27.19
12503659,CSE/IT,7.97,66.72,91.0,1,51.6,24.88,52.46,44.39,Placed,Accenture,Mid,Analyst,26.21
12500464,CSE/IT,8.19,69.1,74.36,0,69.59,62.33,58.25,44.69,Placed,IBM,Mid,Analyst,25.51
12501458,CSE/IT,7.85,80.52,65.18,0,59.62,47.77,56.9,68.41,Placed,Microsoft,Product,SDE,38.79
12503175,CSE/IT,8.84,58.04,63.69,0,81.41,39.34,66.06,64.98,Placed,Zomato,Product,Core Engineer,38.87
12503534,CSE/IT,8.14,70.42,63.91,0,66.38,77.97,48.1,71.36,Placed,SAP Labs,Product,Core Engineer,35.2
12503251,CSE/IT,8.17,60.72,76.32,0,36.82,62.2,68.65,69.02,Placed,L&T Infotech,Mid,Analyst,27.11
12503280,CSE/IT,7.5,77.45,70.26,0,36.59,70.63,58.86,76.52,Placed,Twitter(X),Product,Core Engineer,32.37
12501599,CSE/IT,8.1,64.62,71.03,3,66.65,48.37,70.2,59.75,Placed,Google,Product,Core Engineer,41.34
12501711,CSE/IT,8.57,65.15,72.45,2,52.68,50.18,59.07,59.1,Placed,Amazon,Product,SDE,26.76
12502744,CSE/IT,8.54,67.09,83.23,0,56.51,35.92,43.71,43.8,Placed,Oracle,Product,Core Engineer,41.9
12500441,CSE/IT,9.01,46.5,81.8,0,62.4,56.96,27.26,68.9,Placed,Amazon,Product,Core Engineer,39.14
12502299,CSE/IT,9.24,44.88,73.93,2,78.22,57.84,31.01,70.12,Placed,Razorpay,Product,SDE,42.07
12501935,CSE/IT,8.83,44.57,75.02,1,65.68,44.22,53.12,77.05,Placed,Flipkart,Product,SDE,40.27
12500735,CSE/IT,8.19,86.55,57.77,0,77.4,26.07,55.16,61.19,Placed,Microsoft,Product,SDE,28.84
12503091,CSE/IT,7.97,57.05,70.65,1,51.73,75.53,76.1,72.76,Placed,Oracle,Product,Core Engineer,44.88
12503413,CSE/IT,7.79,67.0,77.91,0,53.59,56.67,49.01,66.96,Placed,Intel,Mid,SDE,35.99
12500568,CSE/IT,8.14,61.14,72.34,0,49.64,55.78,67.81,70.6,Placed,Hexaware,Mid,Analyst,44.07
12502233,ECE,9.65,63.12,71.89,0,63.84,44.42,65.27,57.33,Placed,Uber,Product,Core Engineer,29.59
12502848,CSE/IT,8.25,82.97,51.14,4,57.89,60.24,70.78,71.42,Placed,Google,Product,SDE,32.47
12503952,CSE/IT,7.76,62.76,91.0,0,30.75,42.04,57.01,58.27,Placed,SAP Labs,Product,Core Engineer,36.77
12503079,CSE/IT,7.81,78.32,63.55,4,68.75,65.98,59.54,60.02,Placed,Capgemini,Mid,Analyst,12.9
12502450,ECE,9.18,77.06,63.26,0,60.91,42.22,66.84,67.84,Placed,Hexaware,Mid,Analyst,14.76
12503189,CSE/IT,8.52,73.72,58.76,1,72.68,63.57,54.43,61.31,Placed,EPAM Systems,Mid,SDE,21.83
12501081,CSE/IT,6.65,63.65,88.07,0,70.41,63.06,68.46,51.71,Placed,KPMG,Mid,SDE,20.12
12500037,CSE/IT,7.68,69.35,77.42,1,47.43,59.09,58.65,62.4,Placed,Bosch,Mid,Analyst,12.23
12503382,CSE/IT,8.34,54.29,86.42,0,43.48,74.57,55.29,48.51,Placed,L&T Infotech,Mid,Analyst,11.24
12502240,CSE/IT,7.53,61.96,81.63,0,67.4,52.1,59.66,57.03,Placed,KPMG,Mid,Analyst,16.14
12500719,CSE/IT,8.35,65.28,82.75,2,51.44,52.06,33.6,54.53,Placed,Intel,Mid,SDE,18.68
12502024,CSE/IT,9.04,57.98,76.37,0,64.58,29.06,50.17,50.86,Placed,KPMG,Mid,Analyst,23.42
12503000,CSE/IT,8.71,56.86,73.12,0,57.31,42.41,51.53,68.45,Placed,Dell,Mid,SDE,14.38
12502810,CSE/IT,8.16,72.12,78.22,3,51.79,43.54,61.22,42.59,Placed,IBM,Mid,SDE,15.16
12501290,CSE/IT,7.47,70.47,83.41,0,66.42,45.9,52.75,46.56,Placed,Capgemini,Mid,SDE,19.02
12503626,CSE/IT,7.78,55.53,82.2,0,50.35,72.12,51.01,69.11,Placed,Tata Elxsi,Mid,SDE,23.7
12500891,CSE/IT,8.52,49.81,79.16,0,60.28,36.61,42.2,77.09,Placed,EPAM Systems,Mid,Analyst,23.42
12501671,ECE,8.48,68.97,77.33,0,53.44,60.03,56.85,70.62,Placed,Bosch,Mid,Analyst,19.03
12500293,CSE/IT,8.64,54.71,77.76,3,54.29,27.48,47.25,72.06,Placed,HP,Mid,Analyst,10.32
12502548,ECE,8.98,71.74,73.33,0,35.27,57.16,64.02,69.52,Placed,Dell,Mid,Analyst,22.24
12500073,CSE/IT,8.67,58.84,82.89,0,56.73,46.26,40.23,48.8,Placed,Nagarro,Mid,SDE,16.75
12502954,CSE/IT,8.23,67.22,76.1,1,40.36,29.46,64.75,62.33,Placed,IBM,Mid,SDE,10.31
